eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,1996,15737.52145,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,1997,15321.52967,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,1998,14086.72627,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,1999,14021.84278,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,2000,13972.13043,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,2001,15031.15449,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,2002,15519.60014,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,2003,18242.38566,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,2004,17749.02232,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,2005,16205.61399,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,2006,14466.45219,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,2007,16674.44084,
13_10,GGCO2E,Net greenhouse gas emissions,GGCO2E,Gg CO2 equivalent,EE,Estonia,2008,14377.95100,
